iTrial 	StimPic 	StimOn 	StimOff 	RT 	Resp 	Correct_Ans 	StimVal 	StimType 
2	5	11797055	11797568	0	0	0	0	0
2	4	11798961	11799472	0	0	0	0	0
2	1	11800880	11801410	0	0	0	0	0
2	1	11802801	11803313	0	0	0	0	0
2	5	11804720	11805233	0	0	0	0	0
2	1	11806624	11807137	0	0	0	0	2
2	2	11808527	11809040	0	0	0	0	0
2	5	11810431	11810944	0	0	0	0	0
2	3	11812335	11812847	0	0	0	0	0
2	5	11814256	11814785	0	0	0	0	2
2	1	11816175	11816706	0	0	0	0	0
2	4	11818079	11818592	0	0	0	0	0
2	1	11834995	11835507	0	0	0	0	4
2	2	11836915	11837427	0	0	0	0	4
2	3	11838835	11839365	0	0	0	0	0
2	4	11840739	11841269	0	0	0	0	0
2	4	11842658	11843189	0	0	0	0	0
2	5	11844562	11845075	0	0	0	0	0
2	1	11846466	11846979	0	0	0	0	0
2	1	11848371	11848883	0	0	0	0	0
2	2	11850289	11850821	0	0	0	0	0
2	1	11852195	11852706	0	0	0	0	2
2	3	11854115	11854627	0	0	0	0	0
2	3	11856035	11856547	0	0	0	0	0
2	1	11857957	11858467	0	0	0	0	0
2	1	11859875	11860388	0	0	0	0	0
2	5	11861778	11862309	0	0	0	0	0
2	4	11863682	11864195	0	0	0	0	0
2	3	11865585	11866116	0	0	0	0	0
2	4	11867489	11868020	0	0	0	0	2
2	3	11869395	11869906	0	0	0	0	2
2	2	11871315	11871826	0	0	0	0	0
2	1	11873234	11873746	0	0	0	0	0
2	1	11875154	11875667	0	0	0	0	0
2	5	11877059	11877588	0	0	0	0	0
2	5	11878978	11879508	0	0	0	0	0
2	5	11880882	11881394	0	0	0	0	2
2	1	11897815	11898326	0	0	0	0	4
2	3	11899734	11900264	0	0	0	0	4
2	3	11901637	11902150	0	0	0	0	0
2	5	11903544	11904054	0	0	0	0	0
2	4	11905462	11905974	0	0	0	0	0
2	5	11907382	11907895	0	0	0	0	2
2	1	11909286	11909798	0	0	0	0	0
2	3	11911207	11911719	0	0	0	0	0
2	5	11913127	11913657	0	0	0	0	0
2	1	11915048	11915559	0	0	0	0	0
2	3	11916972	11917480	0	0	0	0	0
2	4	11918888	11919417	0	0	0	0	0
2	5	11920806	11921320	0	0	0	0	0
2	5	11922711	11923224	0	0	0	0	0
2	1	11924614	11925145	0	0	0	0	0
2	4	11926520	11927031	0	0	0	0	0
2	4	11928440	11928951	0	0	0	0	0
2	4	11930359	11930872	0	0	0	0	2
2	1	11932281	11932792	0	0	0	0	0
2	3	11934199	11934712	0	0	0	0	0
2	1	11936105	11936616	0	0	0	0	2
2	5	11938023	11938536	0	0	0	0	0
2	5	11939927	11940440	0	0	0	0	0
2	1	11941831	11942343	0	0	0	0	0
2	4	11943751	11944281	0	0	0	0	0
2	3	11960667	11961197	0	0	0	0	4
2	3	11962587	11963099	0	0	0	0	4
2	5	11964507	11965020	0	0	0	0	0
2	1	11966412	11966923	0	0	0	0	0
2	4	11968331	11968844	0	0	0	0	0
2	5	11970235	11970747	0	0	0	0	0
2	4	11972155	11972668	0	0	0	0	2
2	3	11974058	11974571	0	0	0	0	0
2	5	11975962	11976475	0	0	0	0	0
2	5	11977867	11978378	0	0	0	0	0
2	2	11979785	11980316	0	0	0	0	0
2	5	11981690	11982202	0	0	0	0	2
2	4	11983610	11984123	0	0	0	0	0
2	5	11985513	11986026	0	0	0	0	2
2	2	11987418	11987930	0	0	0	0	0
2	2	11989337	11989850	0	0	0	0	0
2	5	11991242	11991754	0	0	0	0	0
2	4	11993162	11993674	0	0	0	0	0
2	2	11995083	11995594	0	0	0	0	0
2	3	11997003	11997515	0	0	0	0	0
2	2	11998924	11999453	0	0	0	0	2
2	4	12000843	12001355	0	0	0	0	0
2	5	12002762	12003276	0	0	0	0	0
2	2	12004666	12005197	0	0	0	0	0
2	1	12006570	12007083	0	0	0	0	0
2	3	12023487	12023998	0	0	0	0	4
2	2	12025406	12025919	0	0	0	0	4
2	4	12027311	12027840	0	0	0	0	0
2	1	12029229	12029743	0	0	0	0	0
2	4	12031135	12031664	0	0	0	0	2
2	4	12033055	12033567	0	0	0	0	0
2	2	12034973	12035487	0	0	0	0	0
2	2	12036878	12037391	0	0	0	0	0
2	1	12038798	12039311	0	0	0	0	0
2	5	12040702	12041232	0	0	0	0	0
2	1	12042622	12043135	0	0	0	0	2
2	5	12044525	12045038	0	0	0	0	2
2	4	12046431	12046942	0	0	0	0	0
2	3	12048350	12048862	0	0	0	0	0
2	1	12050270	12050783	0	0	0	0	0
2	1	12052173	12052686	0	0	0	0	0
2	2	12054077	12054607	0	0	0	0	0
2	5	12055982	12056493	0	0	0	0	0
2	3	12057901	12058414	0	0	0	0	0
2	1	12059807	12060317	0	0	0	0	0
2	5	12061726	12062255	0	0	0	0	0
2	2	12063646	12064158	0	0	0	0	0
2	3	12065567	12066078	0	0	0	0	0
2	4	12067485	12067999	0	0	0	0	0
2	4	12069390	12069920	0	0	0	0	0
2	3	12086323	12086852	0	0	0	0	4
2	1	12088243	12088755	0	0	0	0	4
2	1	12090163	12090693	0	0	0	0	0
2	2	12092084	12092595	0	0	0	0	0
2	2	12094002	12094516	0	0	0	0	0
2	2	12095906	12096419	0	0	0	0	2
2	2	12097811	12098323	0	0	0	0	2
2	5	12099730	12100243	0	0	0	0	0
2	3	12101635	12102164	0	0	0	0	0
2	5	12103554	12104067	0	0	0	0	2
2	2	12105458	12105988	0	0	0	0	0
2	1	12107363	12107874	0	0	0	0	0
2	2	12109283	12109812	0	0	0	0	2
2	2	12111202	12111715	0	0	0	0	0
2	2	12113106	12113619	0	0	0	0	2
2	2	12115029	12115539	0	0	0	0	2
2	4	12116951	12117459	0	0	0	0	0
2	2	12118871	12119380	0	0	0	0	2
2	1	12120788	12121300	0	0	0	0	0
2	3	12122711	12123220	0	0	0	0	0
2	5	12124635	12125158	0	0	0	0	0
2	1	12126547	12127078	0	0	0	0	0
2	1	12128453	12128964	0	0	0	0	0
2	1	12130374	12130885	0	0	0	0	2
2	3	12132294	12132805	0	0	0	0	0
2	5	12149225	12149737	0	0	0	0	4
2	5	12151145	12151657	0	0	0	0	4
2	1	12153068	12153578	0	0	0	0	0
2	5	12154986	12155516	0	0	0	0	2
2	2	12156908	12157418	0	0	0	0	0
2	3	12158826	12159356	0	0	0	0	0
2	2	12160730	12161260	0	0	0	0	2
2	4	12162656	12163163	0	0	0	0	0
2	2	12164571	12165083	0	0	0	0	2
2	5	12166492	12167021	0	0	0	0	0
2	3	12168417	12168941	0	0	0	0	0
2	2	12170334	12170844	0	0	0	0	0
2	3	12172252	12172764	0	0	0	0	2
2	4	12174178	12174685	0	0	0	0	0
2	3	12176097	12176605	0	0	0	0	2
2	3	12178017	12178525	0	0	0	0	0
2	2	12179933	12180463	0	0	0	0	0
2	1	12181858	12182366	0	0	0	0	0
2	2	12183774	12184304	0	0	0	0	2
2	5	12185694	12186206	0	0	0	0	0
2	4	12187613	12188127	0	0	0	0	0
2	5	12189517	12190030	0	0	0	0	2
2	2	12191422	12191934	0	0	0	0	0
2	2	12193343	12193854	0	0	0	0	0
2	1	12195263	12195792	0	0	0	0	0
2	1	12212195	12212707	0	0	0	0	4
2	1	12214115	12214627	0	0	0	0	4
2	1	12216035	12216547	0	0	0	0	2
2	2	12217957	12218485	0	0	0	0	0
2	5	12219877	12220388	0	0	0	0	0
2	4	12221796	12222308	0	0	0	0	0
2	3	12223718	12224229	0	0	0	0	0
2	4	12225636	12226149	0	0	0	0	2
2	1	12227540	12228053	0	0	0	0	0
2	1	12229460	12229973	0	0	0	0	0
2	5	12231364	12231876	0	0	0	0	0
2	2	12233284	12233814	0	0	0	0	0
2	2	12235187	12235718	0	0	0	0	0
2	4	12237091	12237604	0	0	0	0	0
2	2	12238994	12239508	0	0	0	0	2
2	2	12240899	12241411	0	0	0	0	0
2	5	12242821	12243332	0	0	0	0	0
2	2	12244738	12245252	0	0	0	0	2
2	5	12246642	12247173	0	0	0	0	2
2	4	12248548	12249077	0	0	0	0	0
2	3	12250468	12250997	0	0	0	0	0
2	1	12252387	12252900	0	0	0	0	0
2	5	12254290	12254821	0	0	0	0	0
2	5	12256196	12256707	0	0	0	0	0
2	1	12258116	12258627	0	0	0	0	0
